,S.No,date,startup name,Industry Vertical,SubVertical,City  Location,InvestmentnType,Rupees in crore,Investor Name,investor_cleaned,year,month
0,0,2020-01-09,BYJU'S,E-Tech,E-learning,Bengaluru,Private Equity Round,1884.0,tiger global,ping an global voyager fund,2020,January
1,1,2020-01-13,Shuttl,Transportation,App based shuttle service,Gurgaon,Series C,75.81587148000001,susquehanna growth equity,susquehanna growth equity llc,2020,January
2,2,2020-01-09,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Series B,172.9404612,sequoia capital,quona capital,2020,January
3,3,2020-01-02,wealthbucket,FinTech,Online Investment,New Delhi,Pre-series A,28.26,vinod khatumal,vinod khatumal,2020,January
4,4,2020-01-02,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Seed Round,16.956,sprout venture partners,sprout venture partners  others,2020,January
5,5,2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Series A,84.78,chiratae ventures,chiratae ventures formerly idg ventures,2020,January
6,6,2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Private Equity Round,1413.0,ant financial,ant financials,2020,January
7,7,2019-12-12,Ecozen,Technology,Agritech,Pune,Series A,56.52,sathguru catalyzer advisors,blinc advisors,2019,December
8,8,2019-12-06,CarDekho,E-Commerce,Automobile,Gurgaon,Series D,659.4,ping an global voyager fund,tiger global,2019,December
9,9,2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,Seed,471.0,mumbai angels,mumbai angel,2019,December
10,10,2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,Seed,471.0,ravikanth reddy,amrendra reddy  manish satnaliwala,2019,December
11,11,2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,Series F,188.4,saif partners,saif partners  lgt impact ventures,2019,December
12,12,2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,Series F,188.4,spring canter investment ltd,pine labs pte ltd,2019,December
13,13,2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,Series C,113.04,paytm,m,2019,December
14,14,2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,Series C,113.04,nptk,nptk,2019,December
15,15,2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,Series C,113.04,sabre partners  neoplux,sabre partners,2019,December
16,16,2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Series E,282.6,vertex growth fund,ping an global voyager fund,2019,December
17,17,2019-12-16,InCred,Finance,Non-Banking Financial Company,Mumbai,Debt Funding,55.578,undisclosed,undisclosed,2019,December
18,18,2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,Seed Round,18.84,ruizheng investment,alphabets growth investment arm capital g  axis bank,2019,December
19,19,2019-12-11,Rein Games,Gaming,Real money based gaming startup,Noida,Seed Round,471.0,manipal education  medical group memg,cdc group,2019,December
20,20,2019-12-20,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,Series G,2176.02,softbank,softbank,2019,December
21,21,2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,Series H,1413.0,sequoia capital,quona capital,2019,November
22,22,2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,Series H,1413.0,capitalg,capitalg,2019,November
23,23,2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,Series H,1413.0,accel,accel,2019,November
24,24,2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,Series B,4.57812,saucevc,saucevc,2019,November
25,25,2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,Series B,4.57812,rainforest ventures,rps ventures,2019,November
26,26,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,Seed,14.13,prime venture partners,prime venture partners  others,2019,November
27,27,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,Seed,14.13,letsventure,lets venture,2019,November
28,28,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,Seed,14.13,ps1 venture  globallogic cofounder rajul garg,rajul garg,2019,November
29,29,2019-11-17,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,Venture,0.0,rb investments,rb investments pte ltd,2019,November
30,30,2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,Series B,113.04,dg daiwa ventures,ah ventures,2019,November
31,31,2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,Series B,113.04,dg incubation,inc,2019,November
32,32,2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,Debt Funding,244.92,trifecta capital advisors,trifecta capital advisors llp,2019,November
